title,rating,year,actors,runtime,url
Batman Begins,8.2,2005,Christian Bale;Michael Caine;Ken Watanabe;Liam Neeson,140,https://www.imdb.com/title/tt0372784/
Babam ve Oglum,8.2,2005,Eser Sariyar;Çetin Tekindor;Fikret Kuskan;Hümeyra,112,https://www.imdb.com/title/tt0476735/
Anniyan,8.3,2005,Vikram;Sada;Prakash Raj;Vivek,181,https://www.imdb.com/title/tt0376127/
Graves End,8.6,2005,Eric Roberts;Steven Williams;Daniel Roebuck;Valerie Mikita,90,https://www.imdb.com/title/tt0419781/
Pudhu Pettai,8.5,2006,Dhanush;Sneha;Sonia Agarwal;Azhagam Perumal,168,https://www.imdb.com/title/tt0459516/
The Prestige,8.5,2006,Christian Bale;Hugh Jackman;Scarlett Johansson;Michael Caine,130,https://www.imdb.com/title/tt0482571/
The Departed,8.5,2006,Leonardo DiCaprio;Matt Damon;Jack Nicholson;Mark Wahlberg,151,https://www.imdb.com/title/tt0407887/
Das Leben der Anderen,8.4,2006,Ulrich Mühe;Martina Gedeck;Sebastian Koch;Ulrich Tukur,137,https://www.imdb.com/title/tt0405094/
Khosla Ka Ghosla!,8.3,2006,Anupam Kher;Boman Irani;Parvin Dabas;Tara Sharma,135,https://www.imdb.com/title/tt0466460/
There Will Be Blood,8.2,2007,Daniel Day-Lewis;Paul Dano;Ciarán Hinds;Martin Stringer,158,https://www.imdb.com/title/tt0469494/
Khuda Kay Liye,8.4,2007,Shaan Shahid;Fawad Khan;Iman Ali;Austin Marie Sayre,168,https://www.imdb.com/title/tt1068956/
Taare Zameen Par,8.4,2007,Darsheel Safary;Aamir Khan;Tisca Chopra;Vipin Sharma,165,https://www.imdb.com/title/tt0986264/
Chak De! India,8.2,2007,Shah Rukh Khan;Vidya Malvade;Sagarika Ghatge;Shilpa Shukla,153,https://www.imdb.com/title/tt0871510/
Into the Wild,8.1,2007,Emile Hirsch;Vince Vaughn;Catherine Keener;Marcia Gay Harden,148,https://www.imdb.com/title/tt0758758/
Gran Torino,8.1,2008,Clint Eastwood;Bee Vang;Christopher Carley;Ahney Her,116,https://www.imdb.com/title/tt1205489/
The Dark Knight,9.0,2008,Christian Bale;Heath Ledger;Aaron Eckhart;Michael Caine,152,https://www.imdb.com/title/tt0468569/
Okuribito,8.1,2008,Masahiro Motoki;Ryôko Hirosue;Tsutomu Yamazaki;Kazuko Yoshiyuki,130,https://www.imdb.com/title/tt1069238/
Vaaranam Aayiram,8.2,2008,Suriya;Simran;Ramya;Sameera Reddy,169,https://www.imdb.com/title/tt1180583/
WALL·E,8.4,2008,Ben Burtt;Elissa Knight;Jeff Garlin;Fred Willard,98,https://www.imdb.com/title/tt0910970/
El secreto de sus ojos,8.2,2009,Ricardo Darín;Soledad Villamil;Pablo Rago;Carla Quevedo,129,https://www.imdb.com/title/tt1305806/
Inglourious Basterds,8.3,2009,Brad Pitt;Diane Kruger;Eli Roth;Mélanie Laurent,153,https://www.imdb.com/title/tt0361748/
Monpura,8.7,2009,Chanchal Chowdhury;Farhana Mili;Shirin Alam;Mohiuddin Bahar,136,https://www.imdb.com/title/tt1621830/
3 Idiots,8.4,2009,Aamir Khan;Madhavan;Mona Singh;Sharman Joshi,170,https://www.imdb.com/title/tt1187043/
Up,8.2,2009,Ed Asner;Jordan Nagai;John Ratzenberger;Christopher Plummer,96,https://www.imdb.com/title/tt1049413/
Les Misérables in Concert: The 25th Anniversary,8.8,2010,Alfie Boe;Norm Lewis;Matt Lucas;Jenny Galloway,178,https://www.imdb.com/title/tt1754109/
Udaan,8.2,2010,Rajat Barmecha;Ronit Roy;Manjot Singh;Ram Kapoor,134,https://www.imdb.com/title/tt1639426/
Inception,8.8,2010,Leonardo DiCaprio;Joseph Gordon-Levitt;Elliot Page;Ken Watanabe,148,https://www.imdb.com/title/tt1375666/
Pranchiyettan and the Saint,8.3,2010,Jesse Fox Allen;Innocent;Mammootty;Biju Menon,140,https://www.imdb.com/title/tt1695800/
Incendies,8.3,2010,Lubna Azabal;Mélissa Désormeaux-Poulin;Maxim Gaudette;Mustafa Kamel,131,https://www.imdb.com/title/tt1255953/
The Intouchables,8.5,2011,François Cluzet;Omar Sy;Anne Le Ny;Audrey Fleurot,112,https://www.imdb.com/title/tt1675434/
A Separation,8.3,2011,Payman Maadi;Leila Hatami;Sareh Bayat;Shahab Hosseini,123,https://www.imdb.com/title/tt1832382/
The Phantom of the Opera at the Royal Albert Hall,8.8,2011,Ramin Karimloo;Sierra Boggess;Hadley Fraser;Wendy Ferguson,137,https://www.imdb.com/title/tt2077886/
Love on a Leash,8.9,2011,Gloria Winship Ayon;Shane Ayon;Jana Camp;Stephen Kramer Glickman,90,https://www.imdb.com/title/tt2185022/
Kill Bill: The Whole Bloody Affair,8.8,2011,Uma Thurman;Vivica A. Fox;Michael Madsen;Daryl Hannah,247,https://www.imdb.com/title/tt6019206/
Django Unchained,8.4,2012,Jamie Foxx;Christoph Waltz;Leonardo DiCaprio;Kerry Washington,165,https://www.imdb.com/title/tt1853728/
The Dark Knight Rises,8.4,2012,Christian Bale;Tom Hardy;Anne Hathaway;Gary Oldman,164,https://www.imdb.com/title/tt1345836/
In Montauk,8.4,2012,Nina Kaczorowski;Lukas Hassel;George Katt;Carolina Caro,69,https://www.imdb.com/title/tt1565064/
It's Such a Beautiful Day,8.3,2012,,62,https://www.imdb.com/title/tt2396224/
Jagten,8.3,2012,Mads Mikkelsen;Thomas Bo Larsen;Annika Wedderkopp;Lasse Fogelstrøm,115,https://www.imdb.com/title/tt2106476/
So-won,8.3,2013,Re Lee;Sol Kyung-gu;Ji-won Uhm;Kim Hae-sook,122,https://www.imdb.com/title/tt3153634/
Soodhu Kavvum,8.3,2013,Vijay Sethupathi;Sanchita Shetty;Radha Ravi;M.S. Bhaskar,135,https://www.imdb.com/title/tt2877108/
Drishyam,8.3,2013,Mohanlal;Meena;Asha Sharath;Ansiba,160,https://www.imdb.com/title/tt3417422/
Lucia,8.3,2013,Sathish Neenasam;Sruthi Hariharan;Achyuth Kumar;Sabreen Baker,135,https://www.imdb.com/title/tt2358592/
Bhaag Milkha Bhaag,8.2,2013,Farhan Akhtar;Sonam Kapoor;Pawan Malhotra;Art Malik,186,https://www.imdb.com/title/tt2356180/
Ulidavaru Kandanthe,8.4,2014,Kishore Kumar G.;Rakshit Shetty;Thara;Achyuth Kumar,154,https://www.imdb.com/title/tt3394420/
Kaakkaa Muttai,8.4,2014,Ramesh;J. Vignesh;Aishwarya Rajesh;Ramesh Thilak,91,https://www.imdb.com/title/tt3973410/
Interstellar,8.6,2014,Matthew McConaughey;Anne Hathaway;Jessica Chastain;Mackenzie Foy,169,https://www.imdb.com/title/tt0816692/
Whiplash,8.5,2014,Miles Teller;J.K. Simmons;Melissa Benoist;Paul Reiser,106,https://www.imdb.com/title/tt2582802/
Wheels,8.4,2014,Donavon Warren;Patrick Hume;Diana Gettinger;Kevin McCorkle,115,https://www.imdb.com/title/tt2170667/
RangiTaranga,8.3,2015,Nirup Bhandari;Radhika Narayan;Avantika Shetty;Sai Kumar,149,https://www.imdb.com/title/tt4432480/
Thani Oruvan,8.4,2015,Jayam Ravi;Arvind Swamy;Nayanthara;Nassar,160,https://www.imdb.com/title/tt4987556/
Papanasam,8.4,2015,Kamal Haasan;Gautami;Nivetha Thomas;Esther Anil,179,https://www.imdb.com/title/tt4429128/
Bizim Hikaye,8.6,2015,Cansel Elcin;Luk Piyes;Sera Tokdemir;Naz Elmas,97,https://www.imdb.com/title/tt4558362/
Visaaranai,8.5,2015,Dinesh;Samuthirakani;Anandhi;Murugadass,117,https://www.imdb.com/title/tt4991384/
Kimi no na wa.,8.4,2016,Ryûnosuke Kamiki;Mone Kamishiraishi;Ryô Narita;Aoi Yûki,106,https://www.imdb.com/title/tt5311514/
Aruvi,8.5,2016,Aditi Balan;Padmashri Mohammad Ali;Pradeep Anthony;Arnold,130,https://www.imdb.com/title/tt5867800/
Aynabaji,9.1,2016,Chanchal Chowdhury;Masuma Rahman Nabila;Partha Barua;Lutfur Rahman George,147,https://www.imdb.com/title/tt5354160/
Dag II,8.7,2016,Caglar Ertugrul;Ufuk Bayraktar;Ahu Türkpençe;Murat Serezli,135,https://www.imdb.com/title/tt5813916/
Natsamrat,8.9,2016,Nana Patekar;Medha Manjrekar;Mrunmayee Deshpande;Sunil Barve,166,https://www.imdb.com/title/tt5311546/
Ayla: The Daughter of War,8.4,2017,Çetin Tekindor;Ismail Hacioglu;Kyung-jin Lee;Kim Seol,125,https://www.imdb.com/title/tt6316138/
Vikram Vedha,8.3,2017,Madhavan;Vijay Sethupathi;Shraddha Srinath;Kathir,147,https://www.imdb.com/title/tt6148156/
Aloko Udapadi,9.0,2017,Uddika Premarathna;Dilhani Ekanayake;Roshan Ravindra;Menaka Peiris,113,https://www.imdb.com/title/tt5963218/
Coco,8.4,2017,Anthony Gonzalez;Gael García Bernal;Benjamin Bratt;Alanna Ubach,105,https://www.imdb.com/title/tt2380307/
Theeran Adhigaaram Ondru,8.3,2017,Karthi;Rakul Preet Singh;Abhimanyu Singh;Bose Venkat,157,https://www.imdb.com/title/tt7060460/
96,8.6,2018,Vijay Sethupathi;Adithya Bhaskar;Trisha Krishnan;Gouri Kishan,158,https://www.imdb.com/title/tt7019842/
Pariyerum Perumal,8.8,2018,Kathir;Anandhi;Yogi Babu;Lijeesh,154,https://www.imdb.com/title/tt8176054/
Peranbu,8.9,2018,Mammootty;Sadhana;Anjali;Anjali Ameer,147,https://www.imdb.com/title/tt7738784/
C/o Kancharapalem,8.9,2018,Radha Bessy;Subba Rao Vepada;Praneeta Patnaik;Karthik Rathnam,152,https://www.imdb.com/title/tt7391996/
Mahanati,8.5,2018,Keerthy Suresh;Dulquer Salmaan;Samantha Ruth Prabhu;Vijay Deverakonda,177,https://www.imdb.com/title/tt7465992/
Kumbalangi Nights,8.6,2019,Shane Nigam;Soubin Shahir;Fahadh Faasil;Sreenath Bhasi,135,https://www.imdb.com/title/tt8413338/
Asuran,8.6,2019,Dhanush;Manju Warrier;Prakash Raj;Pasupathy,141,https://www.imdb.com/title/tt9477520/
Gisaengchung,8.6,2019,Kang-ho Song;Sun-kyun Lee;Yeo-jeong Cho;Woo-sik Choi,132,https://www.imdb.com/title/tt6751668/
Jersey,8.6,2019,Nani;Shraddha Srinath;Sathyaraj;Harish Kalyan,157,https://www.imdb.com/title/tt8948790/
Kaithi,8.5,2019,Karthi;Narain;Ramana;George Maryan,145,https://www.imdb.com/title/tt9900782/
