title,rating,year,actors,runtime,url
Stage Door,7.8,1937,Katharine Hepburn;Ginger Rogers;Adolphe Menjou;Gail Patrick,92,https://www.imdb.com/title/tt0029604/
Make Way for Tomorrow,8.2,1937,Victor Moore;Beulah Bondi;Fay Bainter;Thomas Mitchell,91,https://www.imdb.com/title/tt0029192/
La Grande Illusion,8.1,1937,Jean Gabin;Dita Parlo;Pierre Fresnay;Erich von Stroheim,113,https://www.imdb.com/title/tt0028950/
De stormduivels,8.0,1937,Spencer Tracy;Freddie Bartholomew;Lionel Barrymore;Melvyn Douglas,117,https://www.imdb.com/title/tt0028691/
You Can't Take It with You,7.9,1938,Jean Arthur;James Stewart;Lionel Barrymore;Edward Arnold,126,https://www.imdb.com/title/tt0030993/
Engelen met smerige gezichten,7.9,1938,James Cagney;Pat O'Brien;Humphrey Bogart;Ann Sheridan,97,https://www.imdb.com/title/tt0029870/
Bringing Up Baby,7.9,1938,Katharine Hepburn;Cary Grant;Charles Ruggles;Walter Catlett,102,https://www.imdb.com/title/tt0029947/
The Lady Vanishes,7.8,1938,Margaret Lockwood;Michael Redgrave;Paul Lukas;May Whitty,96,https://www.imdb.com/title/tt0030341/
The Adventures of Robin Hood,7.9,1938,Errol Flynn;Olivia de Havilland;Basil Rathbone;Claude Rains,102,https://www.imdb.com/title/tt0029843/
La règle du jeu,8.0,1939,Marcel Dalio;Nora Gregor;Paulette Dubost;Mila Parély,110,https://www.imdb.com/title/tt0031885/
The Wizard of Oz,8.0,1939,Judy Garland;Frank Morgan;Ray Bolger;Bert Lahr,102,https://www.imdb.com/title/tt0032138/
Of Mice and Men,7.9,1939,Lon Chaney Jr.;Burgess Meredith;Betty Field;Charles Bickford,106,https://www.imdb.com/title/tt0031742/
Gejaagd door de wind,8.1,1939,Clark Gable;Vivien Leigh;Thomas Mitchell;Barbara O'Neil,238,https://www.imdb.com/title/tt0031381/
Mr. Smith Goes to Washington,8.1,1939,James Stewart;Jean Arthur;Claude Rains;Edward Arnold,129,https://www.imdb.com/title/tt0031679/
